season,week,contestant,interval_width,certainty,point_estimate,voting_method,has_judges_save,rule_era
1,2,Rachel Hunter,1.0,1.0,0.6666666666666666,rank,False,Early Rank (S1-2)
1,2,Evander Holyfield,1.0,1.0,1.0,rank,False,Early Rank (S1-2)
1,2,Trista Sutter,1.0,1.0,0.3333333333333333,rank,False,Early Rank (S1-2)
1,3,Rachel Hunter,1.0,1.0,1.0,rank,False,Early Rank (S1-2)
1,3,Evander Holyfield,1.0,1.0,0.5,rank,False,Early Rank (S1-2)
2,1,Master P,1.0,1.0,1.0,rank,False,Early Rank (S1-2)
2,1,Kenny Mayne,1.0,1.0,0.7142857142857143,rank,False,Early Rank (S1-2)
2,1,Tatum O'Neal,1.0,1.0,0.14285714285714285,rank,False,Early Rank (S1-2)
2,1,George Hamilton,1.0,1.0,0.8571428571428571,rank,False,Early Rank (S1-2)
2,1,Lisa Rinna,1.0,1.0,0.5714285714285714,rank,False,Early Rank (S1-2)
2,1,Tia Carrere,1.0,1.0,0.42857142857142855,rank,False,Early Rank (S1-2)
2,1,Giselle Fernandez,1.0,1.0,0.2857142857142857,rank,False,Early Rank (S1-2)
2,2,Master P,1.0,1.0,1.0,rank,False,Early Rank (S1-2)
2,2,Tatum O'Neal,1.0,1.0,0.6666666666666666,rank,False,Early Rank (S1-2)
2,2,George Hamilton,1.0,1.0,0.3333333333333333,rank,False,Early Rank (S1-2)
2,2,Lisa Rinna,1.0,1.0,0.8333333333333334,rank,False,Early Rank (S1-2)
2,2,Tia Carrere,1.0,1.0,0.5,rank,False,Early Rank (S1-2)
2,2,Giselle Fernandez,1.0,1.0,0.16666666666666666,rank,False,Early Rank (S1-2)
2,3,Master P,1.0,1.0,1.0,rank,False,Early Rank (S1-2)
2,3,George Hamilton,1.0,1.0,0.8,rank,False,Early Rank (S1-2)
2,3,Lisa Rinna,1.0,1.0,0.6,rank,False,Early Rank (S1-2)
2,3,Tia Carrere,1.0,1.0,0.4,rank,False,Early Rank (S1-2)
2,3,Giselle Fernandez,1.0,1.0,0.2,rank,False,Early Rank (S1-2)
2,4,Lisa Rinna,1.0,1.0,1.0,rank,False,Early Rank (S1-2)
2,4,Master P,1.0,1.0,0.5,rank,False,Early Rank (S1-2)
2,4,George Hamilton,1.0,1.0,0.75,rank,False,Early Rank (S1-2)
2,4,Tia Carrere,1.0,1.0,0.25,rank,False,Early Rank (S1-2)
2,5,Lisa Rinna,1.0,1.0,1.0,rank,False,Early Rank (S1-2)
2,5,George Hamilton,1.0,1.0,0.6666666666666666,rank,False,Early Rank (S1-2)
2,5,Tia Carrere,1.0,1.0,0.3333333333333333,rank,False,Early Rank (S1-2)
2,6,Lisa Rinna,1.0,1.0,1.0,rank,False,Early Rank (S1-2)
2,6,George Hamilton,1.0,1.0,0.5,rank,False,Early Rank (S1-2)
3,1,Harry Hamlin,1.0,0.0,0.0,percent,False,Percent Era (S3-27)
3,1,Tucker Carlson,0.1648938670212766,0.8351061329787234,0.0,percent,False,Percent Era (S3-27)
3,1,Vivica A. Fox,1.0,0.0,1.0,percent,False,Percent Era (S3-27)
3,1,Willa Ford,1.0,0.0,0.0,percent,False,Percent Era (S3-27)
3,1,Jerry Springer,1.0,0.0,0.0,percent,False,Percent Era (S3-27)
3,1,Monique Coleman,1.0,0.0,0.0,percent,False,Percent Era (S3-27)
3,1,Shanna Moakler,1.0,0.0,0.0,percent,False,Percent Era (S3-27)
3,1,Sara Evans,1.0,0.0,0.0,percent,False,Percent Era (S3-27)
3,2,Harry Hamlin,0.967949717948718,0.03205028205128202,0.006411256410256415,percent,False,Percent Era (S3-27)
3,2,Vivica A. Fox,0.967947717948718,0.032052282051281966,0.0,percent,False,Percent Era (S3-27)
3,2,Willa Ford,0.967947717948718,0.032052282051281966,0.0,percent,False,Percent Era (S3-27)
3,2,Jerry Springer,0.967949717948718,0.03205028205128202,0.019231769230769233,percent,False,Percent Era (S3-27)
3,2,Monique Coleman,0.967947717948718,0.032052282051281966,0.0,percent,False,Percent Era (S3-27)
3,2,Shanna Moakler,0.1446889304029304,0.8553110695970696,0.0,percent,False,Percent Era (S3-27)
3,2,Sara Evans,0.9679497179487179,0.03205028205128213,0.9743569743589744,percent,False,Percent Era (S3-27)
3,3,Harry Hamlin,0.1805558888888889,0.819444111111111,0.0,percent,False,Percent Era (S3-27)
3,3,Vivica A. Fox,0.9930555555555556,0.00694444444444442,0.0,percent,False,Percent Era (S3-27)
3,3,Willa Ford,0.9930565555555556,0.006943444444444391,0.9930545555555556,percent,False,Percent Era (S3-27)
3,3,Jerry Springer,0.9930565555555555,0.006943444444444502,0.006945444444444448,percent,False,Percent Era (S3-27)
3,3,Monique Coleman,0.9930555555555556,0.00694444444444442,0.0,percent,False,Percent Era (S3-27)
3,3,Sara Evans,0.9930555555555556,0.00694444444444442,0.0,percent,False,Percent Era (S3-27)
3,4,Vivica A. Fox,0.19661056949152542,0.8033894305084746,0.0,percent,False,Percent Era (S3-27)
3,4,Willa Ford,0.9491515423728814,0.05084845762711865,0.0,percent,False,Percent Era (S3-27)
3,4,Jerry Springer,0.9491535423728813,0.0508464576271187,0.016950152542372893,percent,False,Percent Era (S3-27)
3,4,Monique Coleman,0.9491525423728814,0.05084745762711862,0.9491505423728813,percent,False,Percent Era (S3-27)
3,4,Sara Evans,0.9491535423728813,0.0508464576271187,0.033899305084745784,percent,False,Percent Era (S3-27)
3,5,Monique Coleman,0.9411764705882353,0.05882352941176472,1e-06,percent,False,Percent Era (S3-27)
3,5,Jerry Springer,0.9411774705882353,0.05882252941176469,0.02941276470588236,percent,False,Percent Era (S3-27)
3,5,Willa Ford,0.2352946176470588,0.7647053823529412,0.0,percent,False,Percent Era (S3-27)
3,5,Sara Evans,0.9411774705882353,0.05882252941176469,0.9705862352941176,percent,False,Percent Era (S3-27)
3,7,Monique Coleman,0.540001,0.45999900000000005,1.0,percent,False,Percent Era (S3-27)
3,7,Jerry Springer,0.5400010000000001,0.45999899999999994,0.0,percent,False,Percent Era (S3-27)
4,2,Clyde Drexler,0.9761894761904761,0.023810523809523865,0.017858142857142864,percent,False,Percent Era (S3-27)
4,2,Ian Ziering,0.9761874761904761,0.023812523809523922,0.0,percent,False,Percent Era (S3-27)
4,2,Leeza Gibbons,0.9761884761904761,0.023811523809523893,0.9761864761904762,percent,False,Percent Era (S3-27)
4,2,Billy Ray Cyrus,0.9761884761904761,0.023811523809523893,1e-06,percent,False,Percent Era (S3-27)
4,2,John Ratzenberger,0.9761884761904761,0.023811523809523893,1e-06,percent,False,Percent Era (S3-27)
4,2,Heather Mills,0.9761874761904761,0.023812523809523922,0.0,percent,False,Percent Era (S3-27)
4,2,Paulina Porizkova,0.12500025,0.87499975,0.0,percent,False,Percent Era (S3-27)
4,2,Shandi Finnessey,0.976189476190476,0.023810523809523976,0.005953380952380959,percent,False,Percent Era (S3-27)
4,3,Clyde Drexler,0.9600010000000001,0.039998999999999896,0.17904776190476188,percent,False,Percent Era (S3-27)
4,3,Ian Ziering,0.959999,0.04000099999999995,0.12571442857142856,percent,False,Percent Era (S3-27)
4,3,Leeza Gibbons,0.959999,0.04000099999999995,0.12571442857142856,percent,False,Percent Era (S3-27)
4,3,Billy Ray Cyrus,0.9600000000000001,0.039999999999999925,0.14571442857142855,percent,False,Percent Era (S3-27)
4,3,John Ratzenberger,0.960001,0.03999900000000001,0.15238109523809523,percent,False,Percent Era (S3-27)
4,3,Heather Mills,0.959999,0.04000099999999995,0.12571442857142856,percent,False,Percent Era (S3-27)
4,3,Shandi Finnessey,0.1457145714285714,0.8542854285714286,0.14571342857142855,percent,False,Percent Era (S3-27)
4,4,Clyde Drexler,0.9913053478260869,0.008694652173913076,0.008696652173913048,percent,False,Percent Era (S3-27)
4,4,Ian Ziering,0.991304347826087,0.008695652173912993,0.0,percent,False,Percent Era (S3-27)
4,4,Leeza Gibbons,0.19420323188405797,0.805796768115942,0.0,percent,False,Percent Era (S3-27)
4,4,Billy Ray Cyrus,0.991304347826087,0.008695652173912993,0.0,percent,False,Percent Era (S3-27)
4,4,John Ratzenberger,0.991305347826087,0.008694652173912965,0.991303347826087,percent,False,Percent Era (S3-27)
4,4,Heather Mills,0.9913043478260869,0.008695652173913104,0.0,percent,False,Percent Era (S3-27)
4,5,Clyde Drexler,0.26021545376344085,0.7397845462365591,0.0,percent,False,Percent Era (S3-27)
4,5,Ian Ziering,1.0,0.0,0.0,percent,False,Percent Era (S3-27)
4,5,Billy Ray Cyrus,1.0,0.0,0.0,percent,False,Percent Era (S3-27)
4,5,John Ratzenberger,1.0,0.0,1.0,percent,False,Percent Era (S3-27)
4,5,Heather Mills,1.0,0.0,0.0,percent,False,Percent Era (S3-27)
4,6,John Ratzenberger,0.9310364827586207,0.06896351724137928,0.045978011494252874,percent,False,Percent Era (S3-27)
4,6,Heather Mills,0.23563268390804598,0.764367316091954,0.0,percent,False,Percent Era (S3-27)
4,6,Ian Ziering,0.9310344827586208,0.06896551724137923,0.0,percent,False,Percent Era (S3-27)
4,6,Billy Ray Cyrus,0.9310364827586208,0.06896351724137917,0.9540219885057472,percent,False,Percent Era (S3-27)
4,7,John Ratzenberger,0.33820018004866176,0.6617998199513382,0.0,percent,False,Percent Era (S3-27)
4,7,Ian Ziering,0.9489061094890511,0.051093890510948925,0.9489041094890511,percent,False,Percent Era (S3-27)
4,7,Billy Ray Cyrus,0.9489061094890511,0.051093890510948925,0.0510958905109489,percent,False,Percent Era (S3-27)
4,8,Ian Ziering,0.5529421764705882,0.4470578235294118,1.0,percent,False,Percent Era (S3-27)
4,8,Billy Ray Cyrus,0.5529421764705883,0.4470578235294117,0.0,percent,False,Percent Era (S3-27)
5,1,Albert Reed,1.0,0.0,0.0,percent,False,Percent Era (S3-27)
5,1,Cameron Mathison,1.0,0.0,0.0,percent,False,Percent Era (S3-27)
5,1,Mark Cuban,1.0,0.0,1.0,percent,False,Percent Era (S3-27)
5,1,Jane Seymour,1.0,0.0,0.0,percent,False,Percent Era (S3-27)
5,1,Wayne Newton,1.0,0.0,0.0,percent,False,Percent Era (S3-27)
5,1,Floyd Mayweather Jr. ,1.0,0.0,0.0,percent,False,Percent Era (S3-27)
5,1,Josie Maran,0.1366609471182412,0.8633390528817588,0.0,percent,False,Percent Era (S3-27)
5,1,Sabrina Bryan,1.0,0.0,0.0,percent,False,Percent Era (S3-27)
5,1,Jennie Garth,1.0,0.0,0.0,percent,False,Percent Era (S3-27)
5,2,Albert Reed,0.12195146951219513,0.8780485304878048,0.0,percent,False,Percent Era (S3-27)
5,2,Cameron Mathison,0.9451189512195122,0.05488104878048783,1e-06,percent,False,Percent Era (S3-27)
5,2,Mark Cuban,0.9451199512195122,0.0548800487804878,0.9634096341463413,percent,False,Percent Era (S3-27)
5,2,Jane Seymour,0.9451189512195121,0.05488104878048794,1e-06,percent,False,Percent Era (S3-27)
5,2,Wayne Newton,0.9451199512195121,0.05488004878048791,0.03658636585365854,percent,False,Percent Era (S3-27)
5,2,Floyd Mayweather Jr. ,0.9451189512195121,0.05488104878048794,1e-06,percent,False,Percent Era (S3-27)
5,2,Sabrina Bryan,0.945117951219512,0.05488204878048797,0.0,percent,False,Percent Era (S3-27)
5,2,Jennie Garth,0.9451189512195121,0.05488104878048794,1e-06,percent,False,Percent Era (S3-27)
5,3,Cameron Mathison,1.0,0.0,0.0,percent,False,Percent Era (S3-27)
5,3,Mark Cuban,1.0,0.0,0.0,percent,False,Percent Era (S3-27)
5,3,Jane Seymour,1.0,0.0,0.0,percent,False,Percent Era (S3-27)
5,3,Wayne Newton,0.17460346031746032,0.8253965396825397,0.0,percent,False,Percent Era (S3-27)
5,3,Floyd Mayweather Jr. ,1.0,0.0,0.0,percent,False,Percent Era (S3-27)
5,3,Sabrina Bryan,1.0,0.0,0.0,percent,False,Percent Era (S3-27)
5,3,Jennie Garth,1.0,0.0,1.0,percent,False,Percent Era (S3-27)
5,4,Cameron Mathison,0.9935493870967742,0.006450612903225794,0.0,percent,False,Percent Era (S3-27)
5,4,Mark Cuban,0.9935493870967742,0.006450612903225794,0.006452612903225795,percent,False,Percent Era (S3-27)
5,4,Jane Seymour,0.9935493870967742,0.006450612903225794,0.9935473870967743,percent,False,Percent Era (S3-27)
5,4,Floyd Mayweather Jr. ,0.1849465698924731,0.815053430107527,0.0,percent,False,Percent Era (S3-27)
5,4,Sabrina Bryan,0.9935493870967742,0.006450612903225794,0.0,percent,False,Percent Era (S3-27)
5,4,Jennie Garth,0.9935493870967742,0.006450612903225794,0.0,percent,False,Percent Era (S3-27)
5,5,Cameron Mathison,1.0,0.0,0.0,percent,False,Percent Era (S3-27)
5,5,Mark Cuban,0.23333373333333332,0.7666662666666667,0.0,percent,False,Percent Era (S3-27)
5,5,Jane Seymour,1.0,0.0,0.0,percent,False,Percent Era (S3-27)
5,5,Sabrina Bryan,1.0,0.0,1.0,percent,False,Percent Era (S3-27)
5,5,Jennie Garth,1.0,0.0,0.0,percent,False,Percent Era (S3-27)
5,6,Sabrina Bryan,0.24747524747474747,0.7525247525252525,0.0,percent,False,Percent Era (S3-27)
5,6,Cameron Mathison,0.9696979696969698,0.030302030303030247,1e-06,percent,False,Percent Era (S3-27)
5,6,Jennie Garth,0.9696969696969696,0.030303030303030387,0.0,percent,False,Percent Era (S3-27)
5,6,Jane Seymour,0.9696979696969696,0.03030203030303036,0.999999,percent,False,Percent Era (S3-27)
5,7,Cameron Mathison,1.0,0.0,0.0,percent,False,Percent Era (S3-27)
5,7,Jennie Garth,1.0,0.0,1.0,percent,False,Percent Era (S3-27)
5,7,Jane Seymour,0.3419920086580086,0.6580079913419914,0.0,percent,False,Percent Era (S3-27)
5,8,Cameron Mathison,0.495050504950495,0.504949495049505,-0.0,percent,False,Percent Era (S3-27)
5,8,Jennie Garth,0.4950505049504951,0.5049494950495049,1.0,percent,False,Percent Era (S3-27)
6,2,Shannon Elizabeth,0.9945365191256831,0.005463480874316917,0.0,percent,False,Percent Era (S3-27)
6,2,Marlee Matlin,0.9945365191256831,0.005463480874316917,0.0,percent,False,Percent Era (S3-27)
6,2,Steve Guttenberg,0.9945365191256831,0.005463480874316917,0.005465480874316946,percent,False,Percent Era (S3-27)
6,2,Priscilla Presley,0.9945365191256831,0.005463480874316917,0.0,percent,False,Percent Era (S3-27)
6,2,Penn Jillette,0.14685817349726774,0.8531418265027323,0.0,percent,False,Percent Era (S3-27)
6,2,Adam Carolla,0.9945365191256831,0.005463480874316917,0.0,percent,False,Percent Era (S3-27)
6,2,Mario,0.9945365191256831,0.005463480874316917,0.0,percent,False,Percent Era (S3-27)
6,2,Monica Seles,0.1564210150273224,0.8435789849726776,0.0,percent,False,Percent Era (S3-27)
6,2,Marissa Jaret Winokur,0.9945365191256831,0.005463480874316917,0.994534519125683,percent,False,Percent Era (S3-27)
6,3,Shannon Elizabeth,0.9869261045751634,0.013073895424836612,0.0,percent,False,Percent Era (S3-27)
6,3,Marlee Matlin,0.9869271045751634,0.013072895424836584,1e-06,percent,False,Percent Era (S3-27)
6,3,Steve Guttenberg,0.14845966946778713,0.8515403305322129,0.0,percent,False,Percent Era (S3-27)
6,3,Priscilla Presley,0.9869261045751634,0.013073895424836612,0.0,percent,False,Percent Era (S3-27)
6,3,Adam Carolla,0.9869271045751633,0.013072895424836695,1e-06,percent,False,Percent Era (S3-27)
6,3,Mario,0.9869271045751634,0.013072895424836584,1e-06,percent,False,Percent Era (S3-27)
6,3,Marissa Jaret Winokur,0.9869281045751633,0.013071895424836666,0.9999969999999999,percent,False,Percent Era (S3-27)
6,4,Marlee Matlin,1.0,0.0,0.0,percent,False,Percent Era (S3-27)
6,4,Marissa Jaret Winokur,1.0,0.0,0.0,percent,False,Percent Era (S3-27)
6,4,Priscilla Presley,1.0,0.0,1.0,percent,False,Percent Era (S3-27)
6,4,Adam Carolla,0.19858189361702128,0.8014181063829787,0.0,percent,False,Percent Era (S3-27)
6,4,Mario,1.0,0.0,0.0,percent,False,Percent Era (S3-27)
6,4,Shannon Elizabeth,1.0,0.0,0.0,percent,False,Percent Era (S3-27)
6,5,Marlee Matlin,1.0,0.0,0.0,percent,False,Percent Era (S3-27)
6,5,Marissa Jaret Winokur,1.0,0.0,0.0,percent,False,Percent Era (S3-27)
6,5,Priscilla Presley,0.2205132205128205,0.7794867794871795,0.0,percent,False,Percent Era (S3-27)
6,5,Mario,1.0,0.0,1.0,percent,False,Percent Era (S3-27)
6,5,Shannon Elizabeth,1.0,0.0,0.0,percent,False,Percent Era (S3-27)
6,6,Marlee Matlin,0.28787928787878786,0.7121207121212121,0.0,percent,False,Percent Era (S3-27)
6,6,Mario,1.0,0.0,0.0,percent,False,Percent Era (S3-27)
6,6,Shannon Elizabeth,1.0,0.0,0.0,percent,False,Percent Era (S3-27)
6,6,Marissa Jaret Winokur,1.0,0.0,1.0,percent,False,Percent Era (S3-27)
6,7,Mario,1.0,0.0,0.33549816883116884,percent,False,Percent Era (S3-27)
6,7,Shannon Elizabeth,0.3354985021645022,0.6645014978354977,0.33549716883116887,percent,False,Percent Era (S3-27)
6,7,Marissa Jaret Winokur,1.0,0.0,0.32900466233766235,percent,False,Percent Era (S3-27)
6,8,Mario,0.4854378932038835,0.5145621067961166,-0.0,percent,False,Percent Era (S3-27)
6,8,Marissa Jaret Winokur,0.48543789320388353,0.5145621067961165,1.0,percent,False,Percent Era (S3-27)
7,1,Susan Lucci,0.9810288102981031,0.01897118970189693,1e-06,percent,False,Percent Era (S3-27)
7,1,Maurice Greene,0.981027810298103,0.018972189701896958,0.0,percent,False,Percent Era (S3-27)
7,1,Cody Linley,0.981027810298103,0.018972189701896958,0.981025810298103,percent,False,Percent Era (S3-27)
7,1,Jeffrey Ross,0.146040571514604,0.853959428485396,0.0,percent,False,Percent Era (S3-27)
7,1,Ted McGinley,0.11472470280036136,0.8852752971996386,0.0,percent,False,Percent Era (S3-27)
7,1,Toni Braxton,0.981027810298103,0.018972189701896958,0.0,percent,False,Percent Era (S3-27)
7,1,Rocco DiSpirito,0.981029810298103,0.01897018970189701,0.005421054200542007,percent,False,Percent Era (S3-27)
7,1,Misty May-Treanor,0.981027810298103,0.018972189701896958,0.0,percent,False,Percent Era (S3-27)
7,1,Cloris Leachman,0.981029810298103,0.01897018970189701,0.013551135501355017,percent,False,Percent Era (S3-27)
7,1,Kim Kardashian,0.9810288102981031,0.01897118970189693,1e-06,percent,False,Percent Era (S3-27)
