season,rank_vs_percent_reversal,n_reversal_weeks,total_weeks,rule_era
1,0.0,0,0,Early Rank (S1-2)
2,0.75,3,4,Early Rank (S1-2)
3,0.4,2,3,Percent Era (S3-27)
4,0.4,2,3,Percent Era (S3-27)
5,0.5,3,4,Percent Era (S3-27)
6,0.2,1,4,Percent Era (S3-27)
7,0.2,1,5,Percent Era (S3-27)
8,0.3333333333333333,2,5,Percent Era (S3-27)
9,0.7142857142857143,5,6,Percent Era (S3-27)
10,0.2,1,4,Percent Era (S3-27)
11,0.5,3,5,Percent Era (S3-27)
12,0.4,2,4,Percent Era (S3-27)
13,0.16666666666666666,1,5,Percent Era (S3-27)
14,0.3333333333333333,2,4,Percent Era (S3-27)
15,0.5,3,4,Percent Era (S3-27)
16,0.2,1,4,Percent Era (S3-27)
17,0.5,3,4,Percent Era (S3-27)
18,0.25,1,3,Percent Era (S3-27)
19,0.42857142857142855,3,5,Percent Era (S3-27)
20,0.5,3,5,Percent Era (S3-27)
21,0.4,2,4,Percent Era (S3-27)
22,0.6,3,5,Percent Era (S3-27)
23,0.5,3,5,Percent Era (S3-27)
24,0.3333333333333333,2,4,Percent Era (S3-27)
25,0.4,2,4,Percent Era (S3-27)
26,0.5,1,2,Percent Era (S3-27)
27,0.5,3,4,Percent Era (S3-27)
28,0.5,2,4,Modern Rank + Save (S28+)
29,0.8,4,5,Modern Rank + Save (S28+)
30,0.6,3,5,Modern Rank + Save (S28+)
31,0.4,2,5,Modern Rank + Save (S28+)
32,0.4,2,5,Modern Rank + Save (S28+)
33,0.0,0,3,Modern Rank + Save (S28+)
34,0.5,2,4,Modern Rank + Save (S28+)
