season,week,contestant,fan_mean,fan_hdi_low,fan_hdi_high
1,2,Trista Sutter,1.3736079625644278e-82,0.0,7.98647247199833e-174
1,2,Evander Holyfield,0.010844978465234707,6.617212065792e-311,5.252533244584425e-05
1,2,John O'Hurley,0.0015911385320917868,0.0,1.2515370368423818e-07
1,2,Rachel Hunter,0.987192849992047,0.956645428877207,1.0
1,2,Joey McIntyre,0.00037100636070583624,0.0,7.592143795700526e-09
1,2,Kelly Monaco,2.6649920607196847e-08,1.5e-323,1.9532904705239377e-16
1,3,Evander Holyfield,7.066050887766243e-06,0.0,2.681613934047501e-58
1,3,John O'Hurley,0.000257254726553007,0.0,5.3260791762376986e-17
1,3,Rachel Hunter,0.9989676130045461,0.9993582167464664,1.0
1,3,Joey McIntyre,0.00013643141079377168,0.0,3.86184792223852e-16
1,3,Kelly Monaco,0.0006316348072193046,0.0,1.0664925765428427e-08
1,4,Rachel Hunter,0.9989634754748739,0.9999980549033811,1.0
1,4,Joey McIntyre,0.00019795692196818975,0.0,1.2632989669975952e-21
1,4,John O'Hurley,0.0003526195049467596,0.0,9.845309155520926e-20
1,4,Kelly Monaco,0.0004859480982112695,0.0,3.9438585770040954e-20
2,1,Tia Carrere,0.002561441340160215,0.0,4.320223715416766e-17
2,1,Tatum O'Neal,0.9946983670819532,0.9877564549739757,1.0
2,1,Lisa Rinna,0.00025471171925597994,0.0,8.181312095704439e-12
2,1,Kenny Mayne,1.223043159630556e-97,0.0,6.428777408561748e-211
2,1,Stacy Keibler,5.666427432494129e-05,0.0,1.0381083489587604e-23
2,1,Giselle Fernandez,8.462174201368523e-06,0.0,3.651135328605682e-20
2,1,Master P,0.0007736008052629059,5e-324,4.062477510055099e-06
2,1,Jerry Rice,0.0012270720285562147,0.0,2.4363114162142453e-09
2,1,Drew Lachey,0.00015015528547681568,0.0,3.1270388389172286e-27
2,1,George Hamilton,0.0002695252908083854,0.0,1.1844248281758155e-11
2,2,Tia Carrere,0.000960619412399414,0.0,3.558353838759789e-18
2,2,Tatum O'Neal,0.9966496991800732,0.9938781917809902,1.0
2,2,Lisa Rinna,0.00020779734169243722,0.0,4.816376239336463e-21
